HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,PassengerGroups,PassengerNums,CabinDeck,CabinNumber,CabinSide,Surname,AgeGroups,Transported
2,1,1,27,0,0,0,0,0,0,13,1,4,3,2,1554,2,0
2,0,1,19,0,0,9,0,2823,0,18,1,2,4,2,519,1,0
1,1,3,31,0,0,0,0,0,0,19,1,8,0,2,266,2,0
1,0,1,38,0,0,6652,0,181,585,21,1,8,1,2,1332,3,0
2,0,1,20,0,10,0,635,0,0,23,1,2,5,2,857,1,0
2,0,1,31,0,0,1615,263,113,60,27,1,2,7,1,1418,2,0
1,1,3,21,0,0,0,0,0,0,29,1,1,2,1,458,1,0
1,1,1,20,0,0,0,0,0,0,32,1,7,0,2,2040,1,0
1,1,3,23,0,0,0,0,0,0,32,2,7,0,2,2040,1,0
2,0,3,24,0,0,639,0,0,0,33,1,2,7,2,371,1,0
2,0,1,19,0,339,3,136,237,0,37,1,2,9,2,1724,1,0
1,0,1,45,0,932,74,0,7,1010,40,1,7,2,1,1536,3,0
1,0,1,44,0,0,1561,0,14,224,40,2,7,2,1,1536,3,0
3,1,1,46,0,0,0,0,0,0,42,1,6,0,1,641,4,0
2,0,1,21,0,0,0,0,1687,92,46,1,4,4,1,396,1,0
2,0,1,27,0,0,0,0,903,0,46,2,2,11,1,396,2,0
2,0,1,20,0,2,12,253,457,690,46,3,2,11,1,396,1,0
1,1,1,44,0,0,0,0,0,0,47,1,1,0,2,402,3,0
1,0,1,29,0,0,7708,243,569,343,47,2,4,442,2,402,2,0
1,0,1,40,0,26,1925,8,3144,63,47,3,1,0,2,906,3,0
2,0,1,30,0,0,878,26,3,0,48,1,4,5,2,1,2,0
2,0,1,14,0,0,0,0,1609,0,49,1,6,1,1,949,0,0
1,1,3,31,0,0,0,0,0,0,54,1,1,4,1,2,2,0
1,0,3,27,0,0,6977,0,4,1235,54,2,1,4,1,2,2,0
1,0,3,66,0,39,6452,0,1409,155,54,3,1,4,1,2,6,0
2,0,1,24,0,1784,8,18,18,0,55,1,4,5,1,1166,1,0
1,0,3,19,0,293,3495,5273,118,422,57,1,8,1,1,1589,1,0
2,1,1,36,0,0,0,0,0,0,59,1,6,2,1,78,3,0
2,0,1,21,0,0,619,12,3,0,60,1,2,12,1,1259,1,0
2,1,3,18,0,0,0,0,0,0,63,1,4,8,2,1273,1,0
2,1,1,26,0,0,0,0,0,0,65,1,4,9,2,262,2,0
2,0,1,19,0,598,0,30,0,0,75,1,4,11,2,184,1,0
2,1,1,48,0,0,0,0,0,0,79,1,4,12,2,246,4,0
2,0,1,23,0,14,870,0,0,23,80,1,4,7,1,1434,1,0
2,0,1,24,0,483,0,87,214,0,83,1,4,8,1,532,1,0
2,0,1,19,0,0,20,135,265,367,87,1,6,3,1,410,1,0
3,1,1,24,0,0,0,0,0,0,89,1,2,19,2,1583,1,0
2,0,1,27,0,66,1736,0,0,15,93,1,4,10,1,859,2,0
2,1,1,6,0,0,0,0,0,0,94,1,4,17,2,4,0,0
2,0,1,33,0,0,0,0,866,0,94,2,2,21,2,4,2,0
2,0,2,23,0,0,0,1235,0,0,95,1,2,18,1,1651,1,0
2,0,2,30,0,1,0,1585,0,484,96,1,2,22,2,338,2,0
2,0,1,26,0,0,17,997,0,0,100,1,4,13,1,582,0,0
2,0,1,1,0,0,0,0,0,0,100,2,4,13,1,582,1,0
2,0,1,20,0,1,0,0,599,0,104,1,2,25,2,2013,1,0
2,1,1,17,0,0,0,0,0,0,106,1,2,26,2,1963,2,0
2,0,1,34,0,0,0,39,1,556,109,1,2,22,1,1663,1,0
2,0,2,24,0,0,22,82,0,686,117,1,6,4,1,452,2,0
2,0,1,29,0,14,869,0,1,0,118,1,4,14,1,1033,1,0
2,0,1,20,0,1037,1,2,0,1576,121,1,2,26,1,1722,0,0
2,1,3,5,0,0,0,0,0,0,124,1,4,15,1,420,1,0
1,1,3,22,0,0,0,0,0,0,125,1,1,6,1,1143,1,0
1,0,1,16,0,3966,2872,0,0,2458,125,2,1,6,1,1143,0,0
2,1,3,7,0,0,0,0,0,0,130,1,4,16,1,304,3,0
2,0,3,36,0,0,0,571,36,0,131,1,2,28,2,510,2,0
3,0,3,26,0,46,315,2305,0,97,132,1,7,4,2,429,3,0
2,0,1,40,0,413,514,1,0,0,135,1,2,28,1,406,2,0
2,1,1,29,0,0,0,0,0,0,137,1,4,24,2,1353,0,0
3,1,1,2,0,0,0,0,0,0,142,1,2,30,2,1324,1,0
3,0,1,23,0,378,402,0,0,509,142,2,2,30,2,1324,0,0
3,0,1,0,0,0,0,0,0,0,142,3,2,30,2,1324,2,0
1,0,3,30,0,0,8853,6108,29,3523,143,1,8,2,1,308,5,0
2,0,1,56,0,0,44,23,723,0,145,1,6,6,1,278,3,0
1,1,1,36,0,0,0,0,0,0,150,1,1,7,1,2007,5,0
1,1,1,56,0,0,0,0,0,0,150,2,1,7,1,2007,1,0
2,0,1,19,0,32,0,521,0,223,153,1,2,32,2,948,3,0
2,1,2,39,0,0,0,0,0,0,154,1,4,21,1,1315,3,0
3,0,1,38,0,2,26,148,1213,0,155,1,2,33,1,1520,2,0
3,0,1,26,0,0,0,0,0,0,156,1,2,34,1,15,2,0
1,0,1,35,0,0,463,0,1502,585,157,1,3,1,1,2094,2,0
2,0,3,26,0,832,0,0,21,136,158,1,6,9,2,1672,3,0
2,0,1,31,0,0,0,705,0,0,158,2,2,33,2,1672,2,0
2,0,1,38,0,0,3,0,756,0,159,1,2,34,2,683,2,0
2,0,3,27,0,0,11,0,0,1172,161,1,2,35,1,2168,1,0
3,1,3,30,0,0,0,0,0,0,162,1,2,36,1,259,2,0
2,0,1,22,0,0,772,0,0,0,166,1,4,29,2,1603,0,0
1,1,1,29,0,0,0,0,0,0,168,1,8,7,2,3,0,0
2,1,1,0,0,0,0,0,0,0,175,1,4,25,1,654,0,0
2,0,3,8,0,0,0,0,0,0,175,2,4,25,1,654,2,0
2,1,1,3,0,0,0,0,0,0,175,3,4,25,1,654,0,0
2,1,1,27,0,0,0,0,0,0,175,4,4,25,1,654,2,0
2,0,1,9,0,0,0,0,0,0,175,5,4,25,1,654,1,0
2,0,2,29,0,362,15,0,0,450,176,1,2,39,1,951,1,0
2,0,1,18,0,756,116,0,1,58,180,1,2,40,1,1337,1,0
3,0,1,22,0,197,0,1175,0,0,184,1,6,7,1,749,1,0
3,0,1,24,0,6,11,1404,0,0,185,1,2,37,2,1750,3,0
3,1,3,25,0,0,0,0,0,0,187,1,2,38,2,646,0,0
2,0,1,36,0,261,0,206,465,0,191,1,2,39,2,448,1,0
1,1,1,14,0,0,0,0,0,0,194,1,8,4,1,4,2,0
1,1,3,24,0,0,0,0,0,0,194,2,8,4,1,4,2,0
1,0,3,26,1,0,275,0,4572,163,194,3,8,4,1,4,3,0
2,0,2,29,0,1669,2,242,155,0,204,1,2,43,1,1898,3,0
2,0,1,40,0,44,0,565,0,18,208,1,4,33,1,696,4,0
1,0,1,36,0,33,0,0,12767,1193,209,1,1,10,1,1000,3,0
1,0,1,46,0,717,516,4,2,2439,214,1,6,12,2,5,1,0
1,0,1,42,0,4762,20,0,4,41,214,2,6,12,2,5,1,0
2,1,1,23,0,0,0,0,0,0,215,1,4,34,1,756,1,0
2,0,1,19,0,741,12,1,0,0,218,1,4,35,1,740,1,0
1,0,3,25,0,3,3833,8098,1531,0,226,1,7,7,2,2129,2,0
2,0,1,22,0,0,0,0,0,0,227,1,4,442,2,414,3,0
1,1,1,35,0,0,0,0,0,0,228,1,1,4,2,6,3,0
1,0,3,39,0,0,25273,0,13,1714,228,2,1,4,2,7,2,0
1,1,3,42,0,0,0,0,0,0,228,3,1,4,2,6,2,0
1,0,1,35,0,0,1442,0,1813,6439,228,4,1,4,2,6,1,0
2,1,2,29,0,0,0,0,0,0,230,1,2,49,1,1463,1,0
2,0,1,20,0,786,0,0,0,0,230,2,2,49,1,1463,3,0
2,1,1,25,0,0,0,0,0,0,235,1,4,40,1,39,3,0
3,1,1,36,0,0,0,0,0,0,236,1,2,51,1,491,1,0
3,0,1,39,0,2556,0,22,0,0,238,1,7,7,1,975,1,0
1,1,3,23,0,0,0,0,0,0,247,1,7,9,1,728,4,0
1,1,3,19,0,0,0,0,0,0,247,2,7,9,1,728,3,0
2,0,1,50,0,0,0,78,751,78,249,1,4,41,1,1074,1,0
2,0,2,41,0,0,0,728,0,0,256,1,2,48,2,445,1,0
3,0,3,19,0,1,0,2839,85,0,259,1,2,55,1,106,1,0
2,0,1,20,0,186,0,0,602,100,262,1,4,39,2,906,3,0
1,1,3,19,0,0,0,0,0,0,264,1,1,5,2,1694,2,0
