HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,PassengerGroups,PassengerNums,CabinDeck,CabinNumber,CabinSide,Surname,AgeGroups
1,0,1,39,0,0,0,0,0,0,False,1,1,1,0,1,1,3
2,0,1,24,0,109,9,25,549,44,True,2,1,2,0,2,2,1
1,0,1,58,1,43,3576,0,6715,49,False,3,1,3,0,2,3,5
1,0,1,33,0,0,1283,371,3329,193,False,3,2,3,0,2,3,2
2,0,1,16,0,303,70,151,565,2,True,4,1,2,1,2,4,1
2,0,2,44,0,0,483,0,291,0,True,5,1,2,0,1,5,3
2,0,1,26,0,42,1539,3,0,0,True,6,1,2,2,2,6,2
2,1,1,28,0,0,0,0,0,0,True,6,2,4,0,2,6,2
2,0,1,35,0,0,785,17,216,0,True,7,1,2,3,2,7,2
1,1,3,14,0,0,0,0,0,0,True,8,1,1,1,1,8,0
1,1,1,34,0,0,0,0,0,0,True,8,2,1,1,1,8,2
1,0,3,45,0,39,7295,589,110,124,True,8,3,1,1,1,8,3
3,0,1,32,0,73,0,1123,0,113,True,9,1,2,1,1,9,2
2,0,1,48,0,719,1,65,0,24,False,10,1,4,1,2,10,4
2,0,1,28,0,8,974,12,2,7,True,11,1,2,2,1,11,2
2,0,1,31,0,32,0,876,0,0,False,12,1,4,427,2,12,2
3,0,3,27,0,1286,122,0,0,0,False,14,1,2,3,1,13,2
2,0,3,24,0,0,1,0,0,637,False,15,1,2,4,1,14,1
3,1,1,45,0,0,0,0,0,0,True,16,1,2,5,1,15,3
2,0,1,0,0,0,0,0,0,0,True,17,1,4,0,1,16,0
2,0,3,14,0,412,0,1,0,679,False,17,2,2,6,1,16,0
2,1,1,1,0,0,0,0,0,0,False,20,1,6,0,2,17,0
2,1,3,49,0,0,0,0,0,0,False,20,2,6,0,2,17,4
2,1,3,29,0,0,0,0,0,0,False,20,3,6,0,2,18,2
2,0,1,10,0,0,0,0,0,0,True,20,4,6,0,2,19,0
2,1,2,1,0,0,0,0,0,0,False,20,5,6,0,2,17,0
2,0,1,7,0,0,0,0,0,0,False,20,6,6,0,2,18,0
3,0,1,21,0,980,2,69,0,0,False,22,1,7,0,1,905,1
1,1,1,62,0,0,0,0,0,0,True,24,1,8,2,2,21,5
2,0,1,15,0,0,225,0,998,0,False,25,1,2,6,2,22,0
1,0,3,34,0,22,6073,0,1438,328,False,26,1,8,0,1,23,2
3,0,1,43,0,1125,0,136,48,0,False,28,1,2,8,1,24,3
2,0,1,32,0,0,850,81,437,453,False,30,1,4,4,2,25,2
3,0,1,47,0,214,0,1411,0,1229,True,31,1,2,9,1,26,4
3,0,1,2,0,0,0,0,0,0,True,31,2,2,9,1,26,0
3,0,1,20,0,0,0,1750,990,0,True,31,3,2,9,1,26,1
1,1,3,28,0,0,0,0,0,0,True,34,1,7,1,2,27,2
3,0,3,23,0,784,964,0,951,0,False,35,1,7,1,1,28,1
2,0,3,15,0,0,492,48,20,401,False,36,1,2,8,2,29,0
2,0,3,20,0,554,195,0,2606,0,False,38,1,2,10,2,30,1
2,1,3,30,0,0,0,0,0,0,False,39,1,4,1,1,31,2
2,1,1,17,0,0,0,0,0,0,True,41,1,4,2,1,32,1
1,0,1,45,0,0,164,45,2511,855,False,43,1,1,3,1,33,3
2,1,1,55,0,0,0,0,0,0,False,44,1,4,3,1,34,4
2,1,3,4,0,0,0,0,0,0,True,44,2,4,3,1,34,0
2,1,2,21,0,0,0,0,0,0,True,44,3,4,3,1,34,1
3,0,1,21,0,970,0,180,0,64,False,45,1,2,10,1,35,1
3,1,1,19,0,0,0,0,0,0,True,45,2,2,10,1,35,1
2,0,3,35,0,790,0,0,0,0,False,50,1,6,1,2,36,2
2,0,1,56,0,0,112,0,1379,127,False,51,1,6,2,2,37,5
2,0,1,27,0,4,0,2,4683,0,False,52,1,4,6,2,38,1
2,0,1,25,0,0,0,1938,0,1,True,53,1,2,11,2,39,0
1,0,1,2,0,0,0,0,0,0,True,56,1,3,1,2,40,3
1,1,1,38,0,0,0,0,0,0,True,56,2,3,1,2,40,2
1,0,1,27,0,279,605,3374,286,3,True,56,3,3,1,2,40,3
2,1,2,36,0,0,0,0,0,0,False,58,1,4,7,2,41,1
2,0,1,22,0,45,1096,148,1377,1,False,61,1,2,12,2,42,5
2,0,1,62,0,0,592,0,17,25,False,62,1,2,13,2,43,0
3,1,1,15,0,0,0,0,0,0,True,64,1,2,14,2,905,2
2,1,1,33,0,0,0,0,0,0,True,64,2,6,3,2,44,5
2,0,1,62,0,1,153,197,0,460,False,66,1,4,6,1,45,0
2,1,2,0,0,0,0,0,0,0,True,67,1,4,10,2,46,1
2,0,1,18,0,1,258,446,0,0,True,67,2,4,10,2,46,1
2,0,3,21,0,1946,37,0,0,24,False,67,3,2,15,2,46,3
3,0,1,27,0,793,0,2,253,0,False,68,1,6,4,2,47,1
2,0,1,42,0,887,0,9,6,0,True,69,1,2,16,2,905,1
2,0,1,19,0,190,0,5,1,726,False,70,1,2,13,1,16,0
2,0,1,17,0,16,2165,0,0,52,False,71,1,2,14,1,48,3
2,0,1,14,0,0,1,0,0,1063,False,72,1,2,17,2,17,3
3,0,2,37,0,46,83,738,0,12,False,73,1,7,3,1,49,2
1,0,1,42,0,1,8397,0,0,506,True,74,1,8,3,2,50,2
3,0,1,27,0,147,0,1018,0,0,True,76,1,2,18,2,51,3
3,0,1,28,0,14,0,1295,0,0,True,77,1,2,15,1,52,0
1,0,1,38,0,0,5840,0,321,9654,False,78,1,8,4,2,53,3
2,1,1,13,0,0,0,0,0,0,False,81,1,4,13,2,54,0
3,0,1,42,0,7406,0,0,0,0,False,82,1,2,16,1,55,0
3,1,1,2,0,0,0,0,0,0,True,82,2,2,16,1,55,1
3,0,1,8,0,0,0,0,0,0,True,82,3,2,16,1,905,3
2,0,1,24,0,688,0,0,0,17,True,84,1,4,14,2,56,3
1,1,1,40,0,0,0,0,0,0,True,85,1,8,5,2,57,3
2,0,1,43,0,211,0,0,638,513,False,86,1,2,17,1,58,2
3,1,2,45,0,0,0,0,0,0,True,88,1,6,5,2,59,2
2,1,1,35,0,0,0,0,0,0,True,90,1,4,15,2,60,2
2,1,1,26,0,0,0,0,0,0,True,91,1,4,16,2,61,1
2,0,1,27,0,1,697,31,188,0,False,91,2,2,20,2,61,0
2,0,1,19,0,0,0,670,1,34,False,92,1,4,9,1,62,0
2,1,1,0,0,0,0,0,0,0,True,92,2,4,9,1,63,4
2,1,1,3,0,0,0,0,0,0,True,92,3,4,9,1,63,2
1,0,1,54,0,0,1208,0,3,637,False,97,1,3,2,2,64,2
2,0,1,26,0,0,856,5,32,0,False,98,1,4,11,1,65,1
2,0,1,26,0,0,2811,957,0,87,True,98,2,4,11,1,65,0
2,0,2,23,0,311,427,526,37,0,False,99,1,2,19,1,66,2
2,0,1,2,0,0,0,0,0,0,True,99,2,4,12,1,67,1
3,1,1,31,0,0,0,0,0,0,True,101,1,4,427,2,68,1
2,0,1,18,0,0,0,0,830,91,False,102,1,2,23,2,69,0
2,0,1,24,0,0,0,0,0,17,True,103,1,2,24,2,70,0
